[2025-05-14 18:56:59] [DEBUG   ] discord.client: Dispatching event message
[2025-05-14 18:56:59] [DEBUG   ] discord.client: Dispatching event command
[2025-05-14 18:56:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-14T22:56:59.933000+00:00', 'pinned': False, 'nonce': '13282318965173567913', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371958820640919685', '1220832178120949830', '996890309512396850', '842882909908238395', '1054880766749855805'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-13T21:14:32.639000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1372346992277323808', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Poll', 'description': 'is it today?', 'content_scan_version': 0, 'color': 3447003}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '921171333918896159', 'author': {'username': 'FAVI_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1371956380461826068', 'global_name': None, 'discriminator': '8914', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '618823749902532636'}}
[2025-05-14 18:56:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-14 18:56:59] [DEBUG   ] discord.client: Dispatching event message
[2025-05-14 18:57:01] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/921171333918896159/messages with {"embeds":[{"flags":0,"color":3447003,"type":"rich","description":"is it today?","title":"Poll"}],"content":null,"components":[],"nonce":"13282318965173567913","enforce_nonce":true,"tts":false} has returned 200
[2025-05-14 18:57:01] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-05-14 18:57:01] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/921171333918896159/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Poll', 'description': 'is it today?', 'color': 3447003, 'content_scan_version': 0}], 'timestamp': '2025-05-14T22:56:59.933000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1372346992277323808', 'channel_id': '921171333918896159', 'author': {'id': '1371956380461826068', 'username': 'FAVI_bot', 'avatar': None, 'discriminator': '8914', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '13282318965173567913'}
[2025-05-14 18:57:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 6, 'op': 0, 'd': {'user_id': '1371956380461826068', 'type': 0, 'message_id': '1372346992277323808', 'message_author_id': '1371956380461826068', 'member': {'user': {'username': 'FAVI_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1371956380461826068', 'global_name': None, 'display_name': None, 'discriminator': '8914', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371958820640919685', '1220832178120949830', '996890309512396850', '842882909908238395', '1054880766749855805'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-13T21:14:32.639000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '921171333918896159', 'burst': False, 'guild_id': '618823749902532636'}}
[2025-05-14 18:57:01] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-14 18:57:01] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-05-14 18:57:01] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-05-14 18:57:01] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/921171333918896159/messages/1372346992277323808/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-05-14 18:57:01] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
